"Year","pop","stock","prod","tot.land","ag.land","un.land","pc.supply","yield","pgrowth","agrowth","bfcn"
2012,7.125828059,6.28969484592,9.446277,12.99510166,4.81913537,3.371448267,0.882661607022084,1.96016012723046,1.20198015254289,0.0163443990793368,0.56000353694302
2013,7.210581976,6.37089666984,9.828551,12.994993346,4.8076352673,3.37104846,0.883548192232632,2.04436286314202,1.18939043011224,-0.238634149428333,0.00380573829467218
2014,7.295290765,0,0,12.994955486,4.8066144737,3.369632283,0,0,1.17478435557558,-0.0212327587939858,0.477393146231912
2015,7.379797139,0,0,12.994900159,4.7975573225,3.369760614,0,0,1.15836882616701,-0.188430989203685,0.112160728259045
2016,7.464022049,0,0,13.002515109,4.7947880089,0,0,0,1.14129031480954,-0.0577234082647064,0.397040349042282
2017,7.547858925,0,0,13.002855208,4.8277604995,0,0,0,1.12321313428103,0.687673585126135,2.02773836544749
2018,7.63109104,0,0,0,0,0,0,0,1.10272483663306,0,0
2019,7.7134681,0,0,0,0,0,0,0,1.07949255969039,0,0
2020,7.794798739,0,0,0,0,0,0,0,1.05439781361123,0,0
2021,7.874965825,0,0,0,0,0,0,0,1.0284689660927,0,0
2022,7.953952567,0,0,0,0,0,0,0,1.00301060036663,0,0
2023,8.031800429,0,0,0,0,0,0,0,0.978731785791384,0,0
2024,8.108605388,0,0,0,0,0,0,0,0.956260799542361,0,0
2025,8.18443746,0,0,0,0,0,0,0,0.935204864109228,0,0
2026,8.259276737,0,0,0,0,0,0,0,0.914409540860498,0,0
2027,8.333078316,0,0,0,0,0,0,0,0.893559827937262,0,0
2028,8.405863295,0,0,0,0,0,0,0,0.87344647727897,0,0
2029,8.477660693,0,0,0,0,0,0,0,0.854134732868042,0,0
2030,8.5484874,0,0,0,0,0,0,0,0.835451070346348,0,0
2031,8.618349489,0,0,0,0,0,0,0,0.817245036823696,0,0
2032,8.68722785,0,0,0,0,0,0,0,0.799205939465696,0,0
2033,8.755083431,0,0,0,0,0,0,0,0.781095905064812,0,0
2034,8.821862661,0,0,0,0,0,0,0,0.76274807117828,0,0
2035,8.887524213,0,0,0,0,0,0,0,0.7443048540109,0,0
2036,8.95204894,0,0,0,0,0,0,0,0.726014640900987,0,0
2037,9.015437653,0,0,0,0,0,0,0,0.708091671804488,0,0
2038,9.077693676,0,0,0,0,0,0,0,0.690549093634775,0,0
2039,9.138828468,0,0,0,0,0,0,0,0.673461720366592,0,0
2040,9.19884724,0,0,0,0,0,0,0,0.656744704314776,0,0
2041,9.257745535,0,0,0,0,0,0,0,0.640279085665073,0,0
2042,9.31550805,0,0,0,0,0,0,0,0.623937164632818,0,0
2043,9.372118186,0,0,0,0,0,0,0,0.607697784126777,0,0
2044,9.427555367,0,0,0,0,0,0,0,0.591511757532146,0,0
2045,9.481803274,0,0,0,0,0,0,0,0.575418598864863,0,0
2046,9.534854828,0,0,0,0,0,0,0,0.559509119383145,0,0
2047,9.586707986,0,0,0,0,0,0,0,0.543827451339148,0,0
2048,9.637357637,0,0,0,0,0,0,0,0.528332051773841,0,0
2049,9.686800357,0,0,0,0,0,0,0,0.513031910429247,0,0
2050,9.73503399,0,0,0,0,0,0,0,0.497931527670472,0,0
2051,9.782061551,0,0,0,0,0,0,0,0.483075467926558,0,0
2052,9.82788464,0,0,0,0,0,0,0,0.468439998676092,0,0
2053,9.872499765,0,0,0,0,0,0,0,0.45396467942261,0,0
2054,9.915902218,0,0,0,0,0,0,0,0.439629820543233,0,0
2055,9.958094074,0,0,0,0,0,0,0,0.425496894507585,0,0
2056,9.999078316,0,0,0,0,0,0,0,0.411567130170098,0,0
2057,10.038871455,0,0,0,0,0,0,0,0.397968070080274,0,0
2058,10.077505218,0,0,0,0,0,0,0,0.384841694339635,0,0
2059,10.115019649,0,0,0,0,0,0,0,0.372259107670749,0,0
2060,10.151448761,0,0,0,0,0,0,0,0.360148702267723,0,0
2061,10.186811588,0,0,0,0,0,0,0,0.34835251433133,0,0
2062,10.221118372,0,0,0,0,0,0,0,0.336776465370314,0,0
2063,10.254382505,0,0,0,0,0,0,0,0.325445140045788,0,0
2064,10.286615746,0,0,0,0,0,0,0,0.314336245837149,0,0
2065,10.317830205,0,0,0,0,0,0,0,0.303447312223545,0,0
2066,10.348042081,0,0,0,0,0,0,0,0.292812300645928,0,0
2067,10.377267714,0,0,0,0,0,0,0,0.282426692617152,0,0
2068,10.405519682,0,0,0,0,0,0,0,0.272248618602028,0,0
2069,10.432810409,0,0,0,0,0,0,0,0.262271638841925,0,0
2070,10.459152507,0,0,0,0,0,0,0,0.252492827601607,0,0
2071,10.484559382,0,0,0,0,0,0,0,0.242915236038444,0,0
